SKU,Description,Active,AssemblyAmount,AssemblyOption,AssemblyTime,BrandID,Category,DeliveryGroup,DiscountEligible,DisplayAvailability,FinancingEligible,FreightGroup,LocalDelivery,Model,MSRP,PowerType,ProductType,PromoName,QtyDanbury,QtyNewMilford,RebateEligible,RebateEndDate,RebateStartDate,RebateToCustomer,SaleEndDate,SalePrice,SaleStartDate,Series,SortOrder,SpecialFinancingEligible,SubCategory,System,Taxable,AllowBackorder,BuyOnlineEligible,MaximumOnLineQty,AvailabilityRequestEligible,ShippingEligible,ShippingRateType,ShipWeight,ShipLength,ShipWidth,ShipHeight,ShippingCarrierRule,ShippingRestriction,ShipsSeparately,WarrantyResidentialUse,WarrantyCommercialUse,WeightLb,WeightKg,Weight,WeightUnit,SpecLabel1,SpecValue1,SpecLabel2,SpecValue2,SpecLabel3,SpecValue3,SpecLabel4,SpecValue4,SpecLabel5,SpecValue5,SpecLabel6,SpecValue6,SpecLabel7,SpecValue7,SpecLabel8,SpecValue8,SpecLabel9,SpecValue9,SpecLabel10,SpecValue10,ImageURL,InventoryURL,ManualURL,ProductURL,Notes
YM342VT-LB,Yanmar YM342VT-LB Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM342VT-LB,60299,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,2700,,,,YM342,143,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM347VA,Yanmar YM347VA Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM347VA,33099,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,500,,,,YM347,146,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM347VA-L,Yanmar YM347VA-L Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM347VA-L,41099,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,2400,,,,YM347,147,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM347VA-LB,Yanmar YM347VA-LB Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM347VA-LB,61199,Diesel,Tool, ,1,1,T,2026-09-30,2026-08-01,2700,,,,YM347,148,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM347VI,Yanmar YM347VI Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM347VI,33099,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,500,,,,YM347,149,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM347VI-L,Yanmar YM347VI-L Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM347VI-L,41099,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,2400,,,,YM347,150,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM347VI-LB,Yanmar YM347VI-LB Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM347VI-LB,61199,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,2700,,,,YM347,151,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM347VT-L,Yanmar YM347VT-L Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM347VT-L,41099,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,2400,,,,YM347,153,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM347VT-LB,Yanmar YM347VT-LB Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM347VT-LB,61199,Diesel,Tool, ,1,1,T,2026-09-30,2026-08-01,2700,,,,YM347,154,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM359VLA,Yanmar YM359VLA Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM359VLA,37399,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,500,,,,YM359,157,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM359VLA-L,Yanmar YM359VLA-L Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM359VLA-L,44899,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,2400,,,,YM359,158,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
